favorites,id,positive,negative,sentiment
63000,9.73172E+17,0,1,negative
100000,9.72854E+17,1,0,positive
86000,9.72847E+17,1,0,positive
73000,9.72835E+17,0,1,negative
80000,9.72832E+17,0,1,negative
86000,9.7283E+17,1,0,positive
68000,9.72648E+17,1,0,positive
40000,9.72622E+17,1,0,positive
93000,9.72585E+17,0,1,negative
84000,9.72563E+17,1,0,positive
85000,9.72542E+17,0,0,neutral
60000,9.72538E+17,1,0,positive
68000,9.72523E+17,1,0,positive
86000,9.72506E+17,0,0,neutral
81000,9.725E+17,1,0,positive
71000,9.72467E+17,1,0,positive
118000,9.72272E+17,1,0,positive
74000,9.72243E+17,1,0,positive
51000,9.72211E+17,1,0,positive
51000,9.72209E+17,0,1,negative
67000,9.72152E+17,0,0,neutral
163000,9.71916E+17,1,0,positive
50000,9.71872E+17,0,0,neutral
41000,9.71872E+17,0,0,neutral
45000,9.71823E+17,1,0,positive
55000,9.71813E+17,1,0,positive
87000,9.71727E+17,1,0,positive
89000,9.7141E+17,1,0,positive
81000,9.71403E+17,1,0,positive
120000,9.7135E+17,1,0,positive
2500,9.71346E+17,1,0,positive
36000,9.71336E+17,1,0,positive
82000,9.71186E+17,1,0,positive
114000,9.71026E+17,0,1,negative
80000,9.71019E+17,1,0,positive
199000,9.71014E+17,0,0,neutral
36000,9.71009E+17,0,0,neutral
49000,9.71008E+17,0,0,neutral
68000,9.71008E+17,0,0,neutral
92000,9.71006E+17,1,0,positive
106000,9.7076E+17,1,0,positive
123000,9.70651E+17,1,0,positive
78000,9.70644E+17,1,0,positive
80000,9.70628E+17,1,0,positive
77000,9.70627E+17,1,0,positive
110000,9.70451E+17,1,0,positive
96000,9.70354E+17,1,0,positive
116000,9.69994E+17,1,0,positive
122000,9.69992E+17,0,1,negative
69000,9.69989E+17,0,0,neutral
89000,9.69939E+17,1,0,positive
106000,9.69661E+17,0,0,neutral
116000,9.69572E+17,0,1,negative
97000,9.69558E+17,0,1,negative
52000,9.69532E+17,0,0,neutral
131000,9.6953E+17,0,1,negative
95000,9.69525E+17,1,0,positive
88000,9.69408E+17,1,0,positive
71000,9.69375E+17,0,0,neutral
71000,9.69375E+17,0,0,neutral
49000,9.69324E+17,1,0,positive
44000,9.69312E+17,0,0,neutral
